Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
,Cabo Verde,16.5388,-23.0418,2020-02-05,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-05,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-05,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-05,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-06,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-06,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-06,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-06,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-06,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-07,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-07,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-07,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-07,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-07,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-08,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-08,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-08,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-08,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-08,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-09,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-09,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-09,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-09,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-09,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-10,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-10,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-10,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-10,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-10,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-11,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-11,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-11,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-11,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-11,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-12,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-12,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-12,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-12,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-12,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-13,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-13,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-13,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-13,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-13,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-14,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-14,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-14,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-14,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-14,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-15,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-15,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-15,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-15,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-15,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-16,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-16,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-16,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-16,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-16,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-17,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-17,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-17,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-17,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-17,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-18,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-18,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-18,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-18,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-18,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-19,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-19,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-19,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-19,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-19,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-20,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-20,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-20,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-20,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-20,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-21,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-21,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-21,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-21,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-21,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-22,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-22,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-22,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-22,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-22,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-23,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-23,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-23,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-23,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-23,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-24,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-24,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-24,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-24,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-24,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-25,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-25,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-25,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-25,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-25,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-26,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-26,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-26,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-26,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-26,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-27,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-27,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-27,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-27,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-27,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-28,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-28,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-28,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-28,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-28,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-02-29,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-02-29,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-02-29,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-02-29,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-02-29,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-01,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-01,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-01,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-01,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-01,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-02,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-02,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-02,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-02,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-02,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-03,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-03,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-03,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-03,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-03,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-04,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-04,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-04,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-04,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-04,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-05,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-05,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-05,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-05,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-05,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-06,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-06,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-06,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-06,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-06,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-07,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-07,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-07,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-07,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-07,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-08,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-08,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-08,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-08,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-08,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-09,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-09,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-09,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-09,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-09,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-10,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-10,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-10,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-10,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-10,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-11,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-11,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-11,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-11,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-11,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-12,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-12,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-12,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-12,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-12,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-13,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-13,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-13,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-13,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-13,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-14,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-14,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-14,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-14,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-14,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-15,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-15,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-15,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-15,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-15,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-16,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-16,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-16,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-16,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-16,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-17,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-17,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-17,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-17,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-17,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-18,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-18,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-18,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-18,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-18,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-19,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-19,0,0,0,0,Africa
,Mozambique,-18.665695,35.529562,2020-03-19,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-19,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-19,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-20,1,0,0,1,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-20,1,0,0,1,Africa
,Mozambique,-18.665695,35.529562,2020-03-20,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-20,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-20,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-21,2,0,0,2,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-21,3,0,0,3,Africa
,Mozambique,-18.665695,35.529562,2020-03-21,0,0,0,0,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-21,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-21,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-22,2,0,0,2,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-22,3,0,0,3,Africa
,Mozambique,-18.665695,35.529562,2020-03-22,1,0,0,1,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-22,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-22,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-23,3,0,0,3,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-23,3,0,0,3,Africa
,Mozambique,-18.665695,35.529562,2020-03-23,1,0,0,1,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-23,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-23,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-24,3,0,0,3,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-24,3,1,0,2,Africa
,Mozambique,-18.665695,35.529562,2020-03-24,3,0,0,3,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-24,0,0,0,0,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-24,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-25,3,0,0,3,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-25,4,1,0,3,Africa
,Mozambique,-18.665695,35.529562,2020-03-25,5,0,0,5,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-25,2,0,0,2,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-25,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-26,4,0,0,4,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-26,4,1,0,3,Africa
,Mozambique,-18.665695,35.529562,2020-03-26,7,0,0,7,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-26,2,0,0,2,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-26,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-27,4,0,0,4,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-27,5,1,0,4,Africa
,Mozambique,-18.665695,35.529562,2020-03-27,7,0,0,7,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-27,2,0,0,2,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-27,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-28,5,0,0,5,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-28,5,1,0,4,Africa
,Mozambique,-18.665695,35.529562,2020-03-28,8,0,0,8,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-28,2,0,0,2,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-28,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-29,7,2,0,5,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-29,6,1,0,5,Africa
,Mozambique,-18.665695,35.529562,2020-03-29,8,0,0,8,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-29,2,0,0,2,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-29,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-30,7,2,0,5,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-30,6,1,0,5,Africa
,Mozambique,-18.665695,35.529562,2020-03-30,8,0,0,8,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-30,8,0,0,8,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-30,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-03-31,7,2,1,4,Africa
,Cabo Verde,16.5388,-23.0418,2020-03-31,6,1,0,5,Africa
,Mozambique,-18.665695,35.529562,2020-03-31,8,0,0,8,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-03-31,8,0,0,8,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-03-31,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-04-01,8,2,1,5,Africa
,Cabo Verde,16.5388,-23.0418,2020-04-01,6,1,0,5,Africa
,Mozambique,-18.665695,35.529562,2020-04-01,10,0,0,10,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-04-01,9,0,0,9,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-04-01,0,0,0,0,Africa
,Angola,-11.2027,17.8739,2020-04-02,8,2,1,5,Africa
,Cabo Verde,16.5388,-23.0418,2020-04-02,6,1,0,5,Africa
,Mozambique,-18.665695,35.529562,2020-04-02,10,0,0,10,Africa
,Guinea-Bissau,11.8037,-15.1804,2020-04-02,9,0,0,9,Africa
,Sao Tome and Principe,0.18636,6.613081,2020-04-02,0,0,0,0,Africa
